asset,direction,setup,entry_time,exit_time,bars_held,entry_price,exit_price,gross_return_pct,net_return_pct,exit_reason
ETH/USDT,short,supertrend_short,2025-04-03T00:00:00+00:00,2025-04-09T16:00:00+00:00,40,1823.5477700000001,1635.9876317012106,0.10285452423261142,0.025213631058152854,stop
BTC/USDT,long,supertrend,2025-05-07T00:00:00+00:00,2025-05-12T16:00:00+00:00,34,96555.15344999998,100935.90154056996,0.0453704223341999,0.010842605583549974,stop
ETH/USDT,long,supertrend,2025-05-22T04:00:00+00:00,2025-05-25T00:00:00+00:00,17,2636.507595,2476.9867218336917,-0.06050461355348696,-0.01562615338837174,stop
ETH/USDT,long,supertrend,2025-06-03T16:00:00+00:00,2025-06-05T16:00:00+00:00,12,2626.4725799999997,2506.579584807127,-0.0456479142808613,-0.011911978570215325,stop
BTC/USDT,long,supertrend,2025-06-06T16:00:00+00:00,2025-06-12T12:00:00+00:00,35,104271.9099,106695.6446070586,0.023244368587695702,0.005311092146923926,stop
ETH/USDT,long,supertrend,2025-06-10T00:00:00+00:00,2025-06-12T20:00:00+00:00,17,2690.22444,2644.942211260351,-0.016832137893910765,-0.004708034473477691,stop
BTC/USDT,long,supertrend,2025-06-16T20:00:00+00:00,2025-06-17T12:00:00+00:00,4,106847.92726499999,104923.68752915414,-0.018009144258581935,-0.005002286064645483,stop
ETH/USDT,long,supertrend,2025-06-16T20:00:00+00:00,2025-06-17T12:00:00+00:00,4,2545.442085,2503.103946405726,-0.016632921583157493,-0.004658230395789373,stop
BTC/USDT,long,supertrend,2025-07-02T16:00:00+00:00,2025-07-15T00:00:00+00:00,74,109730.97807,118116.73696731558,0.07642107128550431,0.018605267821376077,stop
BTC/USDT,long,supertrend,2025-08-07T12:00:00+00:00,2025-08-11T20:00:00+00:00,26,116748.15490499999,118429.29538852625,0.014399717793349616,0.003099929448337404,stop
ETH/USDT,long,supertrend,2025-08-04T16:00:00+00:00,2025-08-14T12:00:00+00:00,59,3671.564865,4469.282665684812,0.2172691563450867,0.053817289086271675,stop
ETH/USDT,long,supertrend,2025-08-22T16:00:00+00:00,2025-08-25T08:00:00+00:00,16,4835.416499999999,4538.757210198261,-0.061351341668652117,-0.015837835417163028,stop
BTC/USDT,short,supertrend_short,2025-08-24T20:00:00+00:00,2025-09-02T08:00:00+00:00,51,113436.843205,110734.50414823742,0.023822410606746006,0.005455602651686502,stop
ETH/USDT,long,supertrend,2025-09-11T08:00:00+00:00,2025-09-15T08:00:00+00:00,24,4432.0149,4521.348209476631,0.02015636487969191,0.004539091219922978,stop
